CEP;Rua;Bairro;Cidade;Latitude;Longitude
13477-040; Rua Batista Dextro; Campo Limpo; Americana/SP;-22.7368238;-47.307763,17
13477-060; Rua Benedito Otávio de Campos; Campo Limpo; Americana/SP;-22.7363767;-47.3078026,18
13477-120; Rua Dionísio Rodrigues da Silva; Campo Limpo; Americana/SP;-22.7333652;-47.3111807,16
13477-020; Rua Ítalo Boschiero; Campo Limpo; Americana/SP;-22.7365894;-47.3112414,17
13477-100; Rua João Missio; Campo Limpo; Americana/SP;-22.735033;-47.3105714,17
13477-030; Rua José Valentim Casati; Campo Limpo; Americana/SP;-22.7376999;-47.3089181,17
13477-051; Rua Luiz Possenti; Campo Limpo; Americana/SP;-22.7373459;-47.3096954,17
13477-130; Rua Manoel José do Nascimento; Campo Limpo; Americana/SP;-22.7345794;-47.3102559,16
13477-050; Rua Onório Cardoso; Campo Limpo; Americana/SP;-22.7372701;-47.3083427,18
13477-000; Rua Orlando Dei Santi; Campo Limpo; Americana/SP;-22.732652;-47.3122294,17
13477-023; Rua Pedro Boen; Campo Limpo; Americana/SP;-22.7370759;-47.3114359,17
13477-110; Rua Pedro Vaz de Campos; Campo Limpo; Americana/SP;-22.7358114;-47.310855,17
13473-349; Praça Benedito Ribeiro Pires de Campos; Campo Verde; Americana/SP;-22.7239191;-47.3178557,15
13473-330; Rua Armando Gonçalves da Rocha; Campo Verde; Americana/SP;-22.7216429;-47.3128629,17
13473-340; Rua Charles Fenley; Campo Verde; Americana/SP;-22.7192725;-47.3096301,17
13473-320; Rua Ernesto Furini; Campo Verde; Americana/SP;-22.7204245;-47.309877,17
13473-360; Rua Estéfano Tancredi; Campo Verde; Americana/SP;-22.7198634;-47.3106974,17
13473-350; Rua José Fogo; Campo Verde; Americana/SP;-22.7203502;-47.3101592,18
13473-310; Rua Olivindo Fonseca; Campo Verde; Americana/SP;-22.7213945;-47.3096929,17
13472-726; Avenida Bandeirantes; Carioba; Americana/SP;-22.7186625;-47.3412604,14
13472-721; Caminho da Servidão; Carioba; Americana/SP;-22.7186625;
13472-720; Rua C; Carioba; Americana/SP;-22.7307141;-47.2801209,15
13472-718; Rua da Igreja; Carioba; Americana/SP;-22.7154969;-47.3260695,18
13472-715; Rua da Leiteria; Carioba; Americana/SP;-22.7165964;-47.3259822,18
13472-723; Rua da Represa; Carioba; Americana/SP;-22.7145654;-47.3312365,18
13472-716; Rua E; Carioba; Americana/SP;-22.7309716;-47.2712559,17
13472-410; Estrada Velha de Limeira; Cariobinha; Americana/SP;-22.7254915;-47.3230776,17
13472-405; Rua Santo André; Cariobinha; Americana/SP;-22.7232067;-47.3236701,17
13472-390; Rua São Benedito; Cariobinha; Americana/SP;-22.7256774;-47.3187701,18
13472-370; Rua São Bento; Cariobinha; Americana/SP;-22.7255918;-47.321684,16
13472-401; Rua São Camilo; Cariobinha; Americana/SP;-22.7267933;-47.3204002,18
13472-403; Rua São Clemente; Cariobinha; Americana/SP;-22.7246088;-47.3212588,18
13472-402; Rua São Geraldo; Cariobinha; Americana/SP;-22.725313;-47.3205354,18
13472-380; Rua São Joaquim; Cariobinha; Americana/SP;-22.7270562;-47.319232,17
13472-404; Rua São José; Cariobinha; Americana/SP;-22.7238897;-47.3224663,17
13472-400; Rua São Sebastião; Cariobinha; Americana/SP;-22.7261507;-47.3236477,16
13472-360; Rua São Simão; Cariobinha; Americana/SP;-22.7243799;-47.3216239,16
13469-360; Avenida Carmine Feola; Catharina Zanaga; Americana/SP;-22.730847;-47.3463424,17
13469-372; Avenida Europa; Catharina Zanaga; Americana/SP;-22.7424046;-47.3620371,15
13469-362; Rua Adílio Feola; Catharina Zanaga; Americana/SP;-22.7323806;-47.3490137,17
13469-401; Rua Alexandre Rubinato; Catharina Zanaga; Americana/SP;-22.7333261;-47.3529919,17
13469-370; Rua Arioldo Cechino; Catharina Zanaga; Americana/SP;-22.7317284;-47.3510705,17
13469-364; Rua Cinaldo Gomes; Catharina Zanaga; Americana/SP;-22.7332048;-47.3488311,17
13469-390; Rua Irineu Penteado; Catharina Zanaga; Americana/SP;-22.7347253;-47.3516752,18
13469-363; Rua Mário Tognetta; Catharina Zanaga; Americana/SP;-22.7327268;-47.3487595,17
13469-361; Rua Miguel Abrão; Catharina Zanaga; Americana/SP;-22.731806;-47.3499519,17
13469-392; Rua Olímpio Corrêa; Catharina Zanaga; Americana/SP;-22.7339342;-47.352977,18
13469-391; Rua Pedro Dollo; Catharina Zanaga; Americana/SP;-22.7342726;-47.3604733,15
13469-380; Rua Vitório Furlan; Catharina Zanaga; Americana/SP;-22.7342351;-47.3521071,17
13469-400; Rua Wady Bufarah; Catharina Zanaga; Americana/SP;-22.7341327;-47.3517537,18
13465-739; Praça Caetano Cecchino; Cechino; Americana/SP;-22.7341327;
13465-750; Rua Bolívia; Cechino; Americana/SP;-22.7477974;-47.3456431,17
13465-740; Rua Chile; Cechino; Americana/SP;-22.746925;-47.3470532,16
13465-730; Rua Paraguai; Cechino; Americana/SP;-22.745207;-47.3444029,17
13465-035; Avenida Bandeirantes; Centro; Americana/SP;-22.7399016;-47.3416861,14
13465-005; Avenida Doutor Antônio Lobo; Centro; Americana/SP;-22.7380081;-47.3346192,16
13465-519; Praça Basílio Rangel; Centro; Americana/SP;-22.7380081;
13465-289; Praça Comendador Müller; Centro; Americana/SP;-22.7399056;-47.3315722,18
13465-019; Praça da Matriz; Centro; Americana/SP;-22.7369825;-47.3322245,17
13465-529; Praça Francisco Furlan; Centro; Americana/SP;-22.7369825;
13465-459; Praça Nossa Senhora Aparecida; Centro; Americana/SP;-22.7391135;-47.3403536,17
13465-259; Praça Parque Ideal; Centro; Americana/SP;-22.7391135;
13465-279; Praça Pio XII; Centro; Americana/SP;-22.7434744;-47.3457439,15
13465-009; Praça Quinze de Novembro; Centro; Americana/SP;-22.741505;-47.3316367,17
13465-269; Praça Trinta e Um de Março; Centro; Americana/SP;-23.5254696;-46.7921695,17
13465-499; Praça Wanda Hansen Martins; Centro; Americana/SP;-23.5254696;
13465-510; Rua Benedito Soares de Barros; Centro; Americana/SP;-22.7391127;-47.3358524,18
13465-070; Rua Benjamin Constant; Centro; Americana/SP;-22.7435033;-47.3304139,17
